shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape-2214,42.794787,-77.81935,168,4.564055844065743
shape-2214,42.794811,-77.819425,169,4.570731979202367
shape-2214,42.794845,-77.81972,170,4.595097302161636
shape-2214,42.794859,-77.819826,171,4.603885243178561
shape-2214,42.794887,-77.820044,172,4.621943148756741
shape-2214,42.794927,-77.820357,173,4.647866451188809
shape-2214,42.794859,-77.820377,174,4.6556018104337715
shape-2214,42.794822,-77.820387,175,4.659796158232483
shape-2214,42.794761,-77.820406,176,4.666753969455243
shape-2214,42.794687,-77.820449,177,4.67569919653924
shape-2214,42.794607,-77.820494,178,4.685322788322357
shape-2214,42.794454,-77.820529,179,4.702573663477051
shape-2214,42.794395,-77.820531,180,4.7091362037503925
shape-2214,42.794276,-77.820486,181,4.722868406011847
shape-2214,42.794139,-77.820459,182,4.738260610763519
shape-2214,42.793966,-77.820513,183,4.757995519745491
shape-2214,42.79381,-77.82056,184,4.7757608194105545
shape-2214,42.793775,-77.820574,185,4.779816834506893
shape-2214,42.793697,-77.820604,186,4.788828867614895
shape-2214,42.793616,-77.820615,187,4.797880281941378
shape-2214,42.793509,-77.820599,188,4.809849570098732
shape-2214,42.793386,-77.820577,189,4.823643868590496
shape-2214,42.793303,-77.821431,190,4.893935328676067
shape-2214,42.793236,-77.822095,191,4.948624917881354
shape-2214,42.793028,-77.824052,192,5.109975001170318
shape-2214,42.793017,-77.824156,193,5.118548720185383
shape-2214,42.792991,-77.824396,194,5.138344109314864
shape-2214,42.792915,-77.824398,195,5.146796512556338
shape-2214,42.792872,-77.8244,196,5.151580686058573
shape-2214,42.792804,-77.824428,197,5.159479586875316
shape-2214,42.792745,-77.824485,198,5.167521490406181
shape-2214,42.792671,-77.824573,199,5.178442433778145
shape-2214,42.792514,-77.824662,200,5.197350298960891
shape-2214,42.792312,-77.824706,201,5.22009683796912
shape-2214,42.792081,-77.824718,202,5.245801562850758
shape-2214,42.792049,-77.824715,203,5.249368216534646
shape-2214,42.791884,-77.824714,204,5.267715589677676
shape-2214,42.791687,-77.824706,205,5.289630748962892
shape-2214,42.7914,-77.824663,206,5.32173605004939
shape-2214,42.791289,-77.824627,207,5.33442345939907
shape-2214,42.791148,-77.824577,208,5.3506241242225885
shape-2214,42.791059,-77.824528,209,5.361297679894941
shape-2214,42.791005,-77.824498,210,5.367782045854123
shape-2214,42.790879,-77.824376,211,5.384969258331812
shape-2214,42.790783,-77.824241,212,5.40030874648796
shape-2214,42.79072,-77.824057,213,5.416876871960315
shape-2214,42.790709,-77.823918,214,5.428284950754352
shape-2214,42.790731,-77.823698,215,5.446402730061853
shape-2214,42.79076,-77.823532,216,5.460326768921925
shape-2214,42.790814,-77.823546,217,5.466439010895052
shape-2214,42.79086,-77.823546,218,5.471553985549636
shape-2214,42.790995,-77.823514,219,5.486790734157295
shape-2214,42.790895,-77.823538,220,5.498081383019579
shape-2214,42.79086,-77.823546,221,5.502027579773235
shape-2214,42.790814,-77.823546,222,5.507142554427818
shape-2214,42.79076,-77.823532,223,5.513254796400946
shape-2214,42.790731,-77.823698,224,5.527178835261018
shape-2214,42.790709,-77.823918,225,5.545296614568518
shape-2214,42.79072,-77.824057,226,5.556704693362556
shape-2214,42.790783,-77.824241,227,5.57327281883491
shape-2214,42.790879,-77.824376,228,5.588612306991059
shape-2214,42.791005,-77.824498,229,5.605799519468747
shape-2214,42.791059,-77.824528,230,5.61228388542793
shape-2214,42.791148,-77.824577,231,5.622957441100282
shape-2214,42.791289,-77.824627,232,5.6391581059238005
shape-2214,42.7914,-77.824663,233,5.651845515273481
shape-2214,42.791687,-77.824706,234,5.683950816359978
shape-2214,42.791884,-77.824714,235,5.705865975645194
shape-2214,42.792049,-77.824715,236,5.724213348788225
shape-2214,42.792081,-77.824718,237,5.727780002472112
shape-2214,42.792312,-77.824706,238,5.753484727353751
shape-2214,42.792514,-77.824662,239,5.77623126636198
shape-2214,42.792671,-77.824573,240,5.795139131544725
shape-2214,42.792745,-77.824485,241,5.806060074916689
shape-2214,42.792804,-77.824428,242,5.814101978447555
shape-2214,42.792872,-77.8244,243,5.822000879264298
shape-2214,42.792915,-77.824398,244,5.826785052766533
