osmid,y,x,street_count,highway,ref,railway,junction,geometry
1768313600,12.0951133,107.4564641,1,,,,,POINT (107.4564641 12.0951133)
1768313646,12.1109142,107.4800473,3,,,,,POINT (107.4800473 12.1109142)
1768313658,12.1201689,107.4785265,3,,,,,POINT (107.4785265 12.1201689)
1768317786,12.0221578,107.4912222,3,,,,,POINT (107.4912222 12.0221578)
1768317788,12.0224843,107.4917203,3,,,,,POINT (107.4917203 12.0224843)
1768317826,12.0351875,107.5041072,4,,,,,POINT (107.5041072 12.0351875)
1768317827,12.0355144,107.5080498,3,,,,,POINT (107.5080498 12.0355144)
1768317843,12.0396531,107.5029364,3,,,,,POINT (107.5029364 12.0396531)
1768317868,12.0438744,107.4897596,4,,,,,POINT (107.4897596 12.0438744)
1768317895,12.0536295,107.4894736,3,,,,,POINT (107.4894736 12.0536295)
1768317902,12.0554077,107.4902468,3,,,,,POINT (107.4902468 12.0554077)
1768317925,12.0588279,107.4888165,3,,,,,POINT (107.4888165 12.0588279)
1768317941,12.0607789,107.4948088,3,,,,,POINT (107.4948088 12.0607789)
1768317955,12.0622422,107.4724584,3,,,,,POINT (107.4724584 12.0622422)
1768317961,12.0632035,107.4950633,3,,,,,POINT (107.4950633 12.0632035)
1768317989,12.0654548,107.4800852,3,,,,,POINT (107.4800852 12.0654548)
1768317993,12.0661156,107.4888025,4,,,,,POINT (107.4888025 12.0661156)
1768317998,12.0664863,107.4781171,3,,,,,POINT (107.4781171 12.0664863)
1768318007,12.0691831,107.4898545,3,,,,,POINT (107.4898545 12.0691831)
1768318011,12.0702668,107.4851504,3,,,,,POINT (107.4851504 12.0702668)
1768318015,12.0710369,107.4874883,3,,,,,POINT (107.4874883 12.0710369)
1768318019,12.072246,107.4706749,3,,,,,POINT (107.4706749 12.072246)
1768318032,12.0768019,107.484587,3,,,,,POINT (107.484587 12.0768019)
1768318042,12.0841704,107.4709344,3,,,,,POINT (107.4709344 12.0841704)
1768318054,12.1240612,107.4810538,3,,,,,POINT (107.4810538 12.1240612)
1768322747,12.0156939,107.5292125,3,,,,,POINT (107.5292125 12.0156939)
1768322773,12.0213962,107.5369976,1,,,,,POINT (107.5369976 12.0213962)
1768322819,12.0305419,107.5274202,3,,,,,POINT (107.5274202 12.0305419)
1768322924,12.0358371,107.5218282,3,,,,,POINT (107.5218282 12.0358371)
1768322953,12.042767,107.5082392,3,,,,,POINT (107.5082392 12.042767)
1768322977,12.0456541,107.5081633,3,,,,,POINT (107.5081633 12.0456541)
1768323015,12.0471948,107.5224414,3,,,,,POINT (107.5224414 12.0471948)
1768323029,12.0486343,107.5225973,1,,,,,POINT (107.5225973 12.0486343)
1768323105,12.0824165,107.4737173,3,,,,,POINT (107.4737173 12.0824165)
2206639672,12.2665439,107.3704294,3,,,,,POINT (107.3704294 12.2665439)
2206639753,12.2729277,107.3064869,3,,,,,POINT (107.3064869 12.2729277)
2206639844,12.2791116,107.565344,3,,,,,POINT (107.565344 12.2791116)
2206639847,12.2791283,107.5639824,3,,,,,POINT (107.5639824 12.2791283)
2206639910,12.2818227,107.5573842,3,,,,,POINT (107.5573842 12.2818227)
2206639917,12.2820904,107.5587244,3,,,,,POINT (107.5587244 12.2820904)
2206640043,12.287204,107.4515653,3,,,,,POINT (107.4515653 12.287204)
2206640133,12.2894286,107.5528113,3,,,,,POINT (107.5528113 12.2894286)
2206640137,12.2896137,107.5452559,3,,,,,POINT (107.5452559 12.2896137)
2206640172,12.2903448,107.5450742,3,,,,,POINT (107.5450742 12.2903448)
2206640235,12.2936546,107.591899,3,,,,,POINT (107.591899 12.2936546)
2206640262,12.2947627,107.5370331,3,,,,,POINT (107.5370331 12.2947627)
2206640287,12.295515,107.5800662,3,,,,,POINT (107.5800662 12.295515)
2206640294,12.2958484,107.5285403,3,,,,,POINT (107.5285403 12.2958484)
2206640431,12.2990717,107.5313512,3,,,,,POINT (107.5313512 12.2990717)
2206640510,12.3020909,107.5301577,3,,,,,POINT (107.5301577 12.3020909)
2206640515,12.3023829,107.5836322,3,,,,,POINT (107.5836322 12.3023829)
2206640520,12.3025497,107.5331588,3,,,,,POINT (107.5331588 12.3025497)
2206640707,12.3039822,107.5295093,3,,,,,POINT (107.5295093 12.3039822)
2206640717,12.3041728,107.5299029,3,,,,,POINT (107.5299029 12.3041728)
2206640843,12.3069361,107.5868032,3,,,,,POINT (107.5868032 12.3069361)
2206641096,12.3114768,107.5362026,3,,,,,POINT (107.5362026 12.3114768)
2206641140,12.3115622,107.523163,3,,,,,POINT (107.523163 12.3115622)
