osmid,y,x,street_count,junction,highway,ref,railway,geometry
1234612596,20.9614654,107.0205997,3,,,,,POINT (107.0205997 20.9614654)
1234612602,20.9564057,107.0512142,3,,,,,POINT (107.0512142 20.9564057)
1234612608,20.9609381,107.0630935,2,,,,,POINT (107.0630935 20.9609381)
1234612610,20.9469429,107.0323759,3,,,,,POINT (107.0323759 20.9469429)
1234612614,20.9514781,107.0424744,3,,,,,POINT (107.0424744 20.9514781)
1234612626,20.9691239,107.0191084,3,,,,,POINT (107.0191084 20.9691239)
1234612628,20.9609514,107.0607816,3,,,,,POINT (107.0607816 20.9609514)
1234612630,20.9609335,107.0605303,3,,,,,POINT (107.0605303 20.9609335)
1234612631,20.9548442,107.0476286,3,,,,,POINT (107.0476286 20.9548442)
1234612642,20.9514503,107.0262559,3,,,,,POINT (107.0262559 20.9514503)
1234612643,20.948287,107.0284359,3,,,,,POINT (107.0284359 20.948287)
1388466714,20.9498344,107.0298928,3,,,,,POINT (107.0298928 20.9498344)
1637405158,20.9548873,107.0923148,3,,,,,POINT (107.0923148 20.9548873)
1691314874,20.9524284,107.0399469,3,,,,,POINT (107.0399469 20.9524284)
1691314892,20.952697,107.0742276,3,,,,,POINT (107.0742276 20.952697)
1691314963,20.9559688,107.0456727,3,,,,,POINT (107.0456727 20.9559688)
1691315072,20.9591466,107.0472084,4,,,,,POINT (107.0472084 20.9591466)
1691315074,20.9592688,107.048766,3,,,,,POINT (107.048766 20.9592688)
2321136968,21.0011108,107.2685072,3,,,,,POINT (107.2685072 21.0011108)
2321136970,21.0043988,107.2693307,4,,,,,POINT (107.2693307 21.0043988)
2321136972,21.0097607,107.2706807,3,,,,,POINT (107.2706807 21.0097607)
2321143215,21.0106695,107.2855479,3,,,,,POINT (107.2855479 21.0106695)
2321143217,21.0115748,107.2850164,3,,,,,POINT (107.2850164 21.0115748)
2395781134,20.9591851,107.0473479,3,,,,,POINT (107.0473479 20.9591851)
2395781147,20.9615173,107.0504326,4,,,,,POINT (107.0504326 20.9615173)
2395781149,20.9625258,107.0550285,3,,,,,POINT (107.0550285 20.9625258)
2395782250,20.9568096,107.0499176,3,,,,,POINT (107.0499176 20.9568096)
2395782255,20.9621007,107.050451,3,,,,,POINT (107.050451 20.9621007)
2395782257,20.9563336,107.0499101,3,,,,,POINT (107.0499101 20.9563336)
2395782263,20.960573,107.0506309,1,,,,,POINT (107.0506309 20.960573)
2395782268,20.9565355,107.0496976,3,,,,,POINT (107.0496976 20.9565355)
2395782270,20.9577101,107.0504567,3,,,,,POINT (107.0504567 20.9577101)
2395782277,20.9604043,107.0521145,3,,,,,POINT (107.0521145 20.9604043)
2395782280,20.9566092,107.0499111,3,,,,,POINT (107.0499111 20.9566092)
2395782286,20.9592305,107.0493434,3,,,,,POINT (107.0493434 20.9592305)
2395782290,20.959716,107.0491497,3,,,,,POINT (107.0491497 20.959716)
2395782292,20.9565816,107.049959,3,,,,,POINT (107.049959 20.9565816)
2395784112,20.9595442,107.0520422,3,,,,,POINT (107.0520422 20.9595442)
2395784148,20.9604217,107.0517942,3,,,,,POINT (107.0517942 20.9604217)
2395784154,20.9587645,107.0509299,3,,,,,POINT (107.0509299 20.9587645)
2395784158,20.9615088,107.0553331,1,,,,,POINT (107.0553331 20.9615088)
2395784159,20.9575319,107.051021,3,,,,,POINT (107.051021 20.9575319)
2395784165,20.9609821,107.0540387,3,,,,,POINT (107.0540387 20.9609821)
2395785563,20.9580145,107.0555247,3,,,,,POINT (107.0555247 20.9580145)
2395785564,20.9593448,107.0559194,3,,,,,POINT (107.0559194 20.9593448)
2395785571,20.9596819,107.0500784,1,,,,,POINT (107.0500784 20.9596819)
2395785592,20.9561846,107.0531344,4,,,,,POINT (107.0531344 20.9561846)
2395785593,20.9604038,107.0562758,3,,,,,POINT (107.0562758 20.9604038)
2395785603,20.9578979,107.0553033,3,,,,,POINT (107.0553033 20.9578979)
2395785624,20.9571688,107.0521321,4,,,,,POINT (107.0521321 20.9571688)
2395785625,20.9577,107.0550245,1,,,,,POINT (107.0550245 20.9577)
2395787374,20.9504877,107.0324378,3,,,,,POINT (107.0324378 20.9504877)
2395787377,20.9509099,107.0308861,3,,,,,POINT (107.0308861 20.9509099)
2395787379,20.9495744,107.035742,3,,,,,POINT (107.035742 20.9495744)
2395787383,20.950366,107.0345162,3,,,,,POINT (107.0345162 20.950366)
2395787384,20.9507831,107.0299509,3,,,,,POINT (107.0299509 20.9507831)
2395787397,20.9519697,107.0374594,3,,,,,POINT (107.0374594 20.9519697)
2395787399,20.9520543,107.0372655,3,,,,,POINT (107.0372655 20.9520543)
