osmid,y,x,street_count,highway,ref,junction,railway,geometry
8804842697,21.1681684,105.6969326,1,,,,,POINT (105.6969326 21.1681684)
8804842700,21.1670769,105.6908548,1,,,,,POINT (105.6908548 21.1670769)
8804842701,21.1653875,105.702352,1,,,,,POINT (105.702352 21.1653875)
8804842703,21.1680575,105.7073779,3,,,,,POINT (105.7073779 21.1680575)
8804842705,21.1675126,105.706993,3,,,,,POINT (105.706993 21.1675126)
8804898406,21.1323377,105.6798161,1,,,,,POINT (105.6798161 21.1323377)
8804898411,21.1253728,105.6866744,3,,,,,POINT (105.6866744 21.1253728)
8804898413,21.121472,105.6886534,3,,,,,POINT (105.6886534 21.121472)
8804898415,21.1274695,105.6932237,3,,,,,POINT (105.6932237 21.1274695)
8804980584,21.3282155,105.8143382,3,,,,,POINT (105.8143382 21.3282155)
8804980593,21.3282826,105.8139541,3,,,,,POINT (105.8139541 21.3282826)
8804980612,21.3284153,105.8116854,3,,,,,POINT (105.8116854 21.3284153)
8805009418,21.3290691,105.8102352,1,,,,,POINT (105.8102352 21.3290691)
8805009420,21.3292164,105.8113895,3,,,,,POINT (105.8113895 21.3292164)
8805009421,21.3291353,105.8109729,3,,,,,POINT (105.8109729 21.3291353)
8805009424,21.3290582,105.8142165,3,,,,,POINT (105.8142165 21.3290582)
8805009426,21.3290017,105.8238616,3,,,,,POINT (105.8238616 21.3290017)
8805009429,21.3289904,105.8230434,3,,,,,POINT (105.8230434 21.3289904)
8805009430,21.3285719,105.8198237,4,,,,,POINT (105.8198237 21.3285719)
8805009436,21.3299898,105.8117854,3,,,,,POINT (105.8117854 21.3299898)
8805012284,21.1188982,105.6801531,3,,,,,POINT (105.6801531 21.1188982)
8805012285,21.1178504,105.6817799,3,,,,,POINT (105.6817799 21.1178504)
8805012287,21.115893,105.670663,1,,,,,POINT (105.670663 21.115893)
8805012301,21.1040539,105.6801885,3,,,,,POINT (105.6801885 21.1040539)
8805012302,21.1040261,105.6801517,3,,,,,POINT (105.6801517 21.1040261)
8805013117,21.1027743,105.6780022,1,,,,,POINT (105.6780022 21.1027743)
8805013136,21.1062852,105.6683908,3,,,,,POINT (105.6683908 21.1062852)
8805013143,21.1069646,105.6682412,3,,,,,POINT (105.6682412 21.1069646)
8805016915,21.1122152,105.6712457,1,,,,,POINT (105.6712457 21.1122152)
8805059149,21.1219873,105.6673943,3,,,,,POINT (105.6673943 21.1219873)
8805059151,21.1237488,105.6664501,3,,,,,POINT (105.6664501 21.1237488)
8805059162,21.1215973,105.6689196,3,,,,,POINT (105.6689196 21.1215973)
8805130184,21.3275365,105.8195434,4,,,,,POINT (105.8195434 21.3275365)
8805130186,21.3261214,105.8139618,3,,,,,POINT (105.8139618 21.3261214)
8805130194,21.3262506,105.8151631,3,,,,,POINT (105.8151631 21.3262506)
8805130195,21.326223,105.8153833,3,,,,,POINT (105.8153833 21.326223)
8805130202,21.3264425,105.8145886,3,,,,,POINT (105.8145886 21.3264425)
8805130207,21.3252907,105.8142642,3,,,,,POINT (105.8142642 21.3252907)
8805135903,21.3229687,105.820933,4,,,,,POINT (105.820933 21.3229687)
8805135904,21.321475,105.8223677,3,,,,,POINT (105.8223677 21.321475)
8805144118,21.3238753,105.8171103,3,,,,,POINT (105.8171103 21.3238753)
8805144128,21.3237731,105.8169161,3,,,,,POINT (105.8169161 21.3237731)
8805144139,21.3237608,105.820754,3,,,,,POINT (105.820754 21.3237608)
8805144141,21.324115,105.8185934,3,,,,,POINT (105.8185934 21.324115)
8805144147,21.3232077,105.8166161,3,,,,,POINT (105.8166161 21.3232077)
8805144154,21.3219707,105.8170878,3,,,,,POINT (105.8170878 21.3219707)
8805144176,21.3185694,105.8193292,3,,,,,POINT (105.8193292 21.3185694)
8805144180,21.3216749,105.818829,3,,,,,POINT (105.818829 21.3216749)
8805144185,21.3193076,105.8224386,3,,,,,POINT (105.8224386 21.3193076)
