vehicle_id,brand,model,engine_type,cc_battery,horsepower,top_speed_kmh,accel_0_100,torque,fuel_type,seats,color,price_usd,vehicle_category,vehicle_type
CAR_0054,Aston Martin,Vantage,V8,"3,996 cc",503.0,313.0,3.6 sec,685 Nm,Petrol,2.0,Orange,142000.0,Luxury,car
CAR_0055,Aston Martin,Vantage,V8,"3,996 cc",503.0,313.0,3.6 sec,685 Nm,Petrol,2.0,Silver,142000.0,Luxury,car
CAR_0056,Aston Martin,Vantage,V8,"3,996 cc",503.0,313.0,3.6 sec,685 Nm,Petrol,2.0,White,142000.0,Luxury,car
CAR_0057,Aston Martin,Dbx,V8,"3,996 cc",542.0,291.0,4.5 sec,700 Nm,Petrol,5.0,Orange,189000.0,Ultra-Luxury,car
CAR_0058,Aston Martin,Dbx,V8,"3,996 cc",542.0,291.0,4.5 sec,700 Nm,Petrol,5.0,Grey,189000.0,Ultra-Luxury,car
CAR_0059,Aston Martin,Dbx,V8,"3,996 cc",542.0,291.0,4.5 sec,700 Nm,Petrol,5.0,Silver,189000.0,Ultra-Luxury,car
CAR_0060,Aston Martin,Rapide Amr,V12,"5,935 cc",580.0,328.0,4.2 sec,630 Nm,Petrol,4.0,Silver,240000.0,Ultra-Luxury,car
CAR_0061,Aston Martin,Rapide Amr,V12,"5,935 cc",580.0,328.0,4.2 sec,630 Nm,Petrol,4.0,Orange,240000.0,Ultra-Luxury,car
CAR_0062,Aston Martin,Rapide Amr,V12,"5,935 cc",580.0,328.0,4.2 sec,630 Nm,Petrol,4.0,Black,240000.0,Ultra-Luxury,car
CAR_0063,Aston Martin,Vanquish,V12,"5,935 cc",580.0,324.0,3.6 sec,630 Nm,Petrol,2.0,Blue,294000.0,Ultra-Luxury,car
CAR_0064,Aston Martin,Lagonda Taraf,V12,"5,935 cc",540.0,314.0,4.2 sec,630 Nm,Petrol,4.0,Grey,1100000.0,Ultra-Luxury,car
CAR_0065,Aston Martin,Lagonda Taraf,V12,"5,935 cc",540.0,314.0,4.2 sec,630 Nm,Petrol,4.0,Black,1100000.0,Ultra-Luxury,car
CAR_0066,Aston Martin,Lagonda Taraf,V12,"5,935 cc",540.0,314.0,4.2 sec,630 Nm,Petrol,4.0,Brown,1100000.0,Ultra-Luxury,car
CAR_0067,Aston Martin,Victor,V12,"5,204 cc",836.0,320.0,2.8 sec,821 Nm,Petrol,2.0,White,1300000.0,Ultra-Luxury,car
CAR_0068,Lamborghini,Sian,V12,"6,498 cc",819.0,350.0,2.8 sec,720 Nm,Hybrid,2.0,Silver,2800000.0,Ultra-Luxury,car
CAR_0069,Lamborghini,Aventador Svj,V12,"6,498 cc",759.0,350.0,2.8 sec,720 Nm,Petrol,2.0,Orange,518000.0,Ultra-Luxury,car
CAR_0070,Lamborghini,Aventador Svj,V12,"6,498 cc",759.0,350.0,2.8 sec,720 Nm,Petrol,2.0,Green,518000.0,Ultra-Luxury,car
CAR_0071,Lamborghini,Aventador Svj,V12,"6,498 cc",759.0,350.0,2.8 sec,720 Nm,Petrol,2.0,Grey,518000.0,Ultra-Luxury,car
CAR_0072,Lamborghini,Huracan Performante,V10,"5,204 cc",640.0,325.0,2.9 sec,600 Nm,Petrol,2.0,Grey,274000.0,Ultra-Luxury,car
CAR_0073,Lamborghini,Huracan Evo,V10,"5,204 cc",640.0,325.0,2.9 sec,600 Nm,Petrol,2.0,Yellow,261000.0,Ultra-Luxury,car
CAR_0074,Lamborghini,Huracan Evo,V10,"5,204 cc",640.0,325.0,2.9 sec,600 Nm,Petrol,2.0,Orange,261000.0,Ultra-Luxury,car
CAR_0075,Lamborghini,Huracan Evo,V10,"5,204 cc",640.0,325.0,2.9 sec,600 Nm,Petrol,2.0,Brown,261000.0,Ultra-Luxury,car
CAR_0076,Lamborghini,Aventador Sv,V12,"6,498 cc",740.0,350.0,2.8 sec,690 Nm,Petrol,2.0,Grey,493000.0,Ultra-Luxury,car
CAR_0077,Lamborghini,Urus,V8,"3,996 cc",641.0,305.0,3.6 sec,850 Nm,Petrol,5.0,White,211000.0,Ultra-Luxury,car
CAR_0078,Lamborghini,Huracan Spyder,V10,"5,204 cc",610.0,325.0,3.4 sec,600 Nm,Petrol,2.0,Brown,287000.0,Ultra-Luxury,car
CAR_0079,Lamborghini,Aventador Roadster,V12,"6,498 cc",700.0,350.0,3.0 sec,690 Nm,Petrol,2.0,Grey,445000.0,Ultra-Luxury,car
CAR_0080,Lamborghini,Huracan  Performante Spyder,V10,"5,204 cc",640.0,325.0,3.1 sec,600 Nm,Petrol,2.0,Grey,308000.0,Ultra-Luxury,car
CAR_0081,Lamborghini,Aventador S,V12,"6,498 cc",740.0,350.0,2.9 sec,690 Nm,Petrol,2.0,Black,421000.0,Ultra-Luxury,car
CAR_0082,Lamborghini,Huracan Evo Spyder,V10,"5,204 cc",640.0,325.0,3.1 sec,600 Nm,Petrol,2.0,White,287000.0,Ultra-Luxury,car
CAR_0083,Lamborghini,Huracan Evo Spyder,V10,"5,204 cc",640.0,325.0,3.1 sec,600 Nm,Petrol,2.0,Orange,287000.0,Ultra-Luxury,car
