osmid,y,x,street_count,highway,junction,railway,ref,geometry
5733501519,10.8083229,106.5844792,1,,,,,POINT (106.5844792 10.8083229)
5733501520,10.8102176,106.5844889,3,,,,,POINT (106.5844889 10.8102176)
5733503828,10.8094692,106.584577,3,,,,,POINT (106.584577 10.8094692)
5733503831,10.8101501,106.5847366,3,,,,,POINT (106.5847366 10.8101501)
5733503832,10.8094557,106.584624,1,,,,,POINT (106.584624 10.8094557)
5733503833,10.809548,106.5843022,3,,,,,POINT (106.5843022 10.809548)
5733503836,10.8097424,106.5835013,3,,,,,POINT (106.5835013 10.8097424)
5733503838,10.8103843,106.5852086,3,,,,,POINT (106.5852086 10.8103843)
5733503840,10.8101093,106.5851279,3,,,,,POINT (106.5851279 10.8101093)
5733503843,10.8101355,106.5848118,3,,,,,POINT (106.5848118 10.8101355)
5733503846,10.8109139,106.5838341,3,,,,,POINT (106.5838341 10.8109139)
5733503847,10.8107968,106.5843129,1,,,,,POINT (106.5843129 10.8107968)
5733511276,10.8500218,106.6266323,3,,,,,POINT (106.6266323 10.8500218)
5733511281,10.8505593,106.6260082,3,,,,,POINT (106.6260082 10.8505593)
5733511285,10.8513116,106.6245916,1,,,,,POINT (106.6245916 10.8513116)
5733511286,10.8503772,106.6249774,3,,,,,POINT (106.6249774 10.8503772)
5733525731,10.8123182,106.8022075,1,,,,,POINT (106.8022075 10.8123182)
5733525732,10.8125725,106.8020129,3,,,,,POINT (106.8020129 10.8125725)
5733525751,10.8134577,106.7999679,1,,,,,POINT (106.7999679 10.8134577)
5733525752,10.8185091,106.8036973,3,,,,,POINT (106.8036973 10.8185091)
5733525753,10.8186425,106.8030363,1,,,,,POINT (106.8030363 10.8186425)
5733528135,10.8906937,106.5832253,1,,,,,POINT (106.5832253 10.8906937)
5733528138,10.8894794,106.5811556,3,,,,,POINT (106.5811556 10.8894794)
5733528139,10.8899259,106.5815422,1,,,,,POINT (106.5815422 10.8899259)
5733528140,10.8908333,106.5833379,3,,,,,POINT (106.5833379 10.8908333)
5733528145,10.8910308,106.5829235,3,,,,,POINT (106.5829235 10.8910308)
5733528149,10.8920844,106.5829369,1,,,,,POINT (106.5829369 10.8920844)
5733528150,10.8919,106.5836209,1,,,,,POINT (106.5836209 10.8919)
5733528153,10.8919672,106.5830751,3,,,,,POINT (106.5830751 10.8919672)
5733528161,10.8920115,106.5813035,3,,,,,POINT (106.5813035 10.8920115)
5733528163,10.8911947,106.5791966,3,,,,,POINT (106.5791966 10.8911947)
5733528176,10.8927089,106.5831473,3,,,,,POINT (106.5831473 10.8927089)
5733528183,10.8894347,106.5839857,3,,,,,POINT (106.5839857 10.8894347)
5733528185,10.8887383,106.5837392,3,,,,,POINT (106.5837392 10.8887383)
5733528186,10.889278,106.5821322,1,,,,,POINT (106.5821322 10.889278)
5733528187,10.889432,106.5819392,3,,,,,POINT (106.5819392 10.889432)
5733528193,10.8896941,106.581848,4,,,,,POINT (106.581848 10.8896941)
5733528194,10.8897705,106.5816817,3,,,,,POINT (106.5816817 10.8897705)
5733528197,10.8897064,106.5806663,3,,,,,POINT (106.5806663 10.8897064)
5733528201,10.8925736,106.5829602,3,,,,,POINT (106.5829602 10.8925736)
5733528202,10.8936095,106.5838674,3,,,,,POINT (106.5838674 10.8936095)
5733528209,10.8924577,106.5827693,3,,,,,POINT (106.5827693 10.8924577)
5733528213,10.8932833,106.5820341,3,,,,,POINT (106.5820341 10.8932833)
5733528216,10.8927883,106.581273,3,,,,,POINT (106.581273 10.8927883)
5733528218,10.8920857,106.5797827,1,,,,,POINT (106.5797827 10.8920857)
5733528219,10.8926038,106.5793397,3,,,,,POINT (106.5793397 10.8926038)
5733528220,10.8922384,106.5799382,1,,,,,POINT (106.5799382 10.8922384)
5733528421,10.8927466,106.5794979,3,,,,,POINT (106.5794979 10.8927466)
5733528423,10.8926246,106.5736761,3,,,,,POINT (106.5736761 10.8926246)
5733529207,10.8105623,106.5842566,1,,,,,POINT (106.5842566 10.8105623)
5733529208,10.8106558,106.5837587,3,,,,,POINT (106.5837587 10.8106558)
5733529209,10.8154916,106.5860671,1,,,,,POINT (106.5860671 10.8154916)
5733529210,10.8151615,106.5860824,3,,,,,POINT (106.5860824 10.8151615)
5733529211,10.8113698,106.5844631,1,,,,,POINT (106.5844631 10.8113698)
5733529212,10.8117412,106.5845526,3,,,,,POINT (106.5845526 10.8117412)
5733531424,10.8158816,106.5889084,3,,,,,POINT (106.5889084 10.8158816)
5733531430,10.8162925,106.5851578,1,,,,,POINT (106.5851578 10.8162925)
5733531435,10.8139056,106.5847099,1,,,,,POINT (106.5847099 10.8139056)
5733531439,10.8118507,106.5840748,3,,,,,POINT (106.5840748 10.8118507)
