stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
ho chi minh city_stop_8985136192,Nhà bia Liệt sĩ Phường Trảng Dài,,10.992547,106.863853,,
ho chi minh city_stop_8985136193,UBND Phường Trảng Dài,,10.992148,106.861570,,
ho chi minh city_stop_8985136198,Ngã ba Năm Thưởng,,10.991978,106.857824,,
ho chi minh city_stop_8985136201,Trường Mầm non Minh Anh,,10.988594,106.857329,,
ho chi minh city_stop_8985136203,Công ty Nguyễn Phong,,10.986359,106.857180,,
ho chi minh city_stop_11309193606,Công ty TNHH MJ Apparel,,10.983587,106.857770,,
ho chi minh city_stop_8985136205,Công an Phường Trảng Dài,,10.979786,106.855688,,
ho chi minh city_stop_8985136206,Phòng khám Đa khoa Công Minh,,10.977344,106.854645,,
ho chi minh city_stop_8985136207,Trường Mầm non Đom Đóm Trảng Dài,,10.975902,106.854713,,
ho chi minh city_stop_8981753922,Cầu Đồng Khởi,,10.971882,106.852759,,
ho chi minh city_stop_11309193605,Ngã tư Tân Phong,,10.967910,106.853615,,
ho chi minh city_stop_8981753919,Bệnh viện Quân y 7B,,10.966716,106.853028,,
ho chi minh city_stop_11309193604,Chùa Phi Lai,,10.965763,106.849012,,
ho chi minh city_stop_8981753917,Bệnh viện Tâm thần Trung ương 2,,10.964900,106.845351,,
ho chi minh city_stop_8982859902,Công viên Dương Tử Giang,,10.963486,106.843633,,
ho chi minh city_stop_8982859901,Trường Nguyễn Văn Trỗi,,10.960228,106.843120,,
ho chi minh city_stop_8982859899,Siêu thị Điện máy Chợ Lớn,,10.957572,106.841903,,
ho chi minh city_stop_8982859898,Quỹ Đầu tư Phát triển Tỉnh Đồng Nai,,10.957933,106.840352,,
ho chi minh city_stop_8982859897,Phòng khám Đa khoa Hồng Phúc,,10.958365,106.838174,,
ho chi minh city_stop_8982859896,Co.opmart Phạm Văn Thuận,,10.958457,106.834001,,
ho chi minh city_stop_8982859894,Trạm y tế Phường Tân Mai,,10.957383,106.830397,,
ho chi minh city_stop_8979998713,Trường Trung học Phổ thông Ngô Quyền,,10.954954,106.825875,,
ho chi minh city_stop_8981741299,Trường Tiểu học Nguyễn Du,,10.945190,106.818962,,
ho chi minh city_stop_8981741301,Hẻm 156 Đường Cách mạng Tháng Tám,,10.943501,106.820832,,
ho chi minh city_stop_8981741300,Công ty Cổ phần Cấp nước Đồng Nai,,10.941147,106.823019,,
ho chi minh city_stop_8981741303,Trường Trung học Phổ thông Chu Văn An (cũ),,10.938911,106.824535,,
ho chi minh city_stop_8981741278,Trường Mầm non Hiệp Hoà,,10.934202,106.829852,,
ho chi minh city_stop_8981741280,Chợ Hiệp Hòa,,10.930416,106.832788,,
ho chi minh city_stop_8981741282,Khu du lịch Ngọc Hoa Trang,,10.925959,106.835588,,
ho chi minh city_stop_8985136210,Công ty Ajinomoto Việt Nam,,10.910807,106.846614,,
ho chi minh city_stop_8981741284,Trường Tiểu học An Hảo,,10.907771,106.847647,,
ho chi minh city_stop_11869153635,Thư viện Tỉnh Đồng Nai,,10.956518,106.827473,,
ho chi minh city_stop_8981741308,Công viên Biên Hùng,,10.951988,106.822895,,
ho chi minh city_stop_8981741307,Phòng Tư pháp Thành phố Biên Hòa,,10.949639,106.820894,,
ho chi minh city_stop_8981741306,Sacombank 30/4,,10.948952,106.820307,,
ho chi minh city_stop_8981741305,Trường Trung học Cơ sở Nguyễn Bỉnh Khiêm (cũ),,10.947531,106.819028,,
ho chi minh city_stop_8981741296,Ngã tư Cầu Hóa An,,10.952323,106.809268,,
ho chi minh city_stop_8981741294,Ngã ba Hồ Văn Đại,,10.952063,106.810578,,
ho chi minh city_stop_8981741290,Sở Tài chính Đồng Nai,,10.949599,106.813303,,
ho chi minh city_stop_8981741287,Nhà Thiếu nhi Tỉnh Đồng Nai,,10.946499,106.817502,,
ho chi minh city_stop_8979998710,Công viên Biên Hùng,,10.951935,106.823056,,
ho chi minh city_stop_8979998712,Trường Trung học Cơ sở Trần Hưng Đạo,,10.956048,106.827676,,
ho chi minh city_stop_8980118497,Sở Khoa học và Công nghệ Tỉnh Đồng Nai,,10.957815,106.832659,,
ho chi minh city_stop_8980118498,Co.opmart Phạm Văn Thuận,,10.958409,106.834365,,
ho chi minh city_stop_8985418897,Công ty Bảo Việt Nhân Thọ Đồng Nai,,10.961032,106.851032,,
ho chi minh city_stop_8985418899,Ngân hàng Agribank,,10.961748,106.853179,,
ho chi minh city_stop_8981741292,Trường Mầm non Quang Vinh,,10.950959,106.812076,,
ho chi minh city_stop_8979998704,Trường Quốc tế Bắc Mỹ SNA Marianapolis,,10.946927,106.818622,,
ho chi minh city_stop_8980118496,Trung tâm nuôi dạy trẻ em khuyết tật Tỉnh Đồng Nai,,10.957166,106.830046,,
ho chi minh city_stop_8980118499,Văn phòng Công chứng Thống Nhất,,10.958404,106.837060,,
ho chi minh city_stop_8980118500,Công an Phường Tân Mai,,10.957829,106.840109,,
ho chi minh city_stop_8980118501,Siêu thị Điện máy Chợ Lớn,,10.957483,106.841789,,
ho chi minh city_stop_8985418895,Trường Tiểu học Nguyễn An Ninh,,10.959529,106.844669,,
ho chi minh city_stop_8985418906,Phòng khám Đa khoa Phúc An,,10.956789,106.860860,,
ho chi minh city_stop_8985418908,Chi cục Thú y Đồng Nai,,10.956036,106.863076,,
ho chi minh city_stop_8985418910,Cục Hải quan Tỉnh Đồng Nai,,10.955038,106.866032,,
ho chi minh city_stop_8985418912,Bệnh viện Đa khoa Đồng Nai,,10.953393,106.868805,,
ho chi minh city_stop_8985928746,Lotte Mart,,10.948873,106.869912,,
ho chi minh city_stop_8987356866,Cây xăng Suối Linh,,10.941188,106.868191,,
