trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,pickup_type,drop_off_type
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356876,26,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356881,27,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356883,28,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356885,29,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356888,30,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356890,31,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356892,32,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356894,33,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_5755584298,34,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356900,35,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356904,36,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356906,37,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356910,38,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356908,39,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356916,40,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987385218,41,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987385220,42,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987385224,43,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987385226,44,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507238,45,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507240,46,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507242,47,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507244,48,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507246,49,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507248,50,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507255,51,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507261,52,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507263,53,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987507251,54,0.0,0,0
