"",Unnamed: 0,power,make_model,fuel,Company Names
651,821,18.0,Suzuki Burgman 200,Gasoline,Suzuki
3041,3780,18.0,Nimbus,Gasoline,Nimbus
24551,30734,18.0,NSU,Gasoline,NSU
6587,8191,18.0,Peugeot XR6 50,Gasoline,Peugeot
439,544,18.0,Gnome et Rhône AX II,Gasoline,Gnome
404,499,18.0,Zündapp DS 350,Gasoline,Zündapp
27383,34323,18.0,NSU Konsul I,Gasoline,NSU
19876,24802,18.0,Derbi DXR 250,Gasoline,Derbi
3720,4641,18.0,Beta RR 390,Gasoline,Beta
500,620,18.0,Zündapp KS 125,Two Stroke Gasoline,Zündapp
8573,10668,18.0,IFA BK 350,Gasoline,IFA
25188,31549,18.0,Suzuki GN 250,Gasoline,Suzuki
10564,13159,18.0,Horex Regina,Gasoline,Horex
4062,5057,18.0,Honda TLR 200,Gasoline,Honda
17528,21851,18.0,Brixton Cromwell 250,Gasoline,Brixton
10680,13300,18.0,Kymco Zing 125,Gasoline,Kymco
20118,25101,18.0,Moto Guzzi Superalce,Gasoline,Moto
27698,34706,18.0,BSA B 31,Gasoline,BSA
15954,19850,16.0,Yamaha Wolverine 350,Gasoline,Yamaha
22183,27704,16.0,Scarabeo Scarabeo 200,Gasoline,Scarabeo
23542,29454,16.0,Yiben YB150T-15,Gasoline,Yiben
19833,24740,16.0,NSU Max,Gasoline,NSU
287,346,16.0,Fantic 250E,Gasoline,Fantic
14280,17761,16.0,MBK Thunder 150,Gasoline,MBK
17213,21460,16.0,Yamaha Majesty 150,Gasoline,Yamaha
17333,21607,16.0,Kawasaki 125 F,Gasoline,Kawasaki
1068,1343,16.0,Jinling,Gasoline,Jinling
24702,30933,16.0,Suzuki Sixteen 125,Gasoline,Suzuki
5147,6400,16.0,Keeway RKV 125,Gasoline,Keeway
5948,7392,16.0,Harley-Davidson F/J,Gasoline,Harley-Davidson
5711,7088,16.0,Generic Trigger SM,Two Stroke Gasoline,Generic
14277,17756,16.0,Vespa PK 125,Gasoline,Vespa
2079,2586,16.0,Piaggio Medley 150,Gasoline,Piaggio
8834,10990,16.0,TM EN 250 Fi,Gasoline,TM
3590,4474,16.0,Triumph BD 250,Gasoline,Triumph
10167,12658,16.0,Romet,Gasoline,Romet
8137,10116,16.0,Qingqi QM 200,Gasoline,Qingqi
7667,9532,16.0,SYM Fiddle 200,Gasoline,SYM
7441,9245,16.0,Puch,Gasoline,Puch
5336,6638,15.0,Piaggio X 9,Gasoline,Piaggio
17900,22336,15.0,Malaguti Drakon,Two Stroke Gasoline,Malaguti
24644,30861,15.0,Zündapp Bella Roller,Gasoline,Zündapp
430,533,15.0,Bullit Spirit,Gasoline,Bullit
9211,11471,15.0,KTM 200 EXC,Gasoline,KTM
7,8,15.0,Kymco Super Dink 125,Gasoline,Kymco
2837,3528,15.0,Yamaha MT-125,Gasoline,Yamaha
2630,3249,15.0,Honda Forza 125,Gasoline,Honda
14059,17484,15.0,Aprilia Sportcity CUBE,Gasoline,Aprilia
13917,17314,15.0,Husqvarna SMR 125,Gasoline,Husqvarna
2886,3587,15.0,Aprilia RX 125,Gasoline,Aprilia
1487,1864,15.0,Derbi Senda,Gasoline,Derbi
5023,6248,15.0,HM CRM Basic,Gasoline,HM
2052,2552,15.0,KTM RC 125,Gasoline,KTM
2715,3364,15.0,Kawasaki Z 125,Gasoline,Kawasaki
451,560,15.0,KTM 125 Duke,Gasoline,KTM
809,1020,15.0,Piaggio XEvo 125,Gasoline,Piaggio
6909,8579,15.0,Mondial SMX 125i SUPERMOTO,Gasoline,Mondial
7101,8820,15.0,Goes G 125,Gasoline,Goes
3213,4002,15.0,CPI SM Supermoto,Gasoline,CPI
17489,21805,15.0,TM 125,Two Stroke Gasoline,TM
3026,3764,15.0,Rieju RS 3,Gasoline,Rieju
2123,2644,15.0,Suzuki GSX-R 125,Gasoline,Suzuki
19354,24142,15.0,Honda VT 125,Gasoline,Honda
1598,1996,15.0,Daelim Otello F.I.,Gasoline,Daelim
18951,23639,15.0,Scarabeo,Gasoline,Scarabeo
1866,2330,15.0,Honda Lead,Gasoline,Honda
12639,15721,15.0,Derbi Terra 125,Gasoline,Derbi
12717,15820,15.0,Cagiva Mito SP 525,Two Stroke Gasoline,Cagiva
12151,15111,15.0,BMW R 27,Gasoline,BMW
20577,25676,15.0,Aprilia SR Max 125,Gasoline,Aprilia
5045,6274,15.0,Kymco K-XCT 125,Gasoline,Kymco
1476,1847,15.0,Suzuki Sixteen 150,Gasoline,Suzuki
23133,28929,15.0,Mondial SMX 125i ENDURO,Gasoline,Mondial
7826,9728,15.0,Fantic 125M,Gasoline,Fantic
4412,5494,15.0,Zero Zero FXS,Electric,Zero
10736,13367,15.0,BMW C1 125 Executive,Gasoline,BMW
4459,5554,15.0,Peugeot LXR 200,Gasoline,Peugeot
700,880,15.0,SYM HD 200,Gasoline,SYM
17304,21573,15.0,Honda CH 125,Gasoline,Honda
4642,5779,15.0,Piaggio Beverly 125,Gasoline,Piaggio
17400,21689,15.0,TGB Bellavita 125,Gasoline,TGB
4404,5482,15.0,Piaggio MP3 250,Gasoline,Piaggio
19329,24108,15.0,Brixton,Gasoline,Brixton
794,998,15.0,KTM 125 XC,Two Stroke Gasoline,KTM
16591,20683,15.0,Malaguti XSM,Gasoline,Malaguti
11891,14794,15.0,Suzuki UC 125,Gasoline,Suzuki
1803,2248,15.0,SYM VS 125,Gasoline,SYM
538,670,15.0,Honda PS 125i,Gasoline,Honda
1835,2291,15.0,Kymco Agility 150,Gasoline,Kymco
7751,9631,15.0,Suzuki GSX-S 125,Gasoline,Suzuki
10800,13444,15.0,Zipp ZV 50,Gasoline,Zipp
2003,2490,15.0,Yamaha YZF-R125,Gasoline,Yamaha
2012,2502,15.0,Suzuki LT-Z 400,Gasoline,Suzuki
25095,31426,15.0,Junak 122 RS,Gasoline,Junak
3125,3879,15.0,Aprilia SX 125,Gasoline,Aprilia
10822,13471,15.0,Beta RR 350,Two Stroke Gasoline,Beta
8055,10015,15.0,Husqvarna SM 125,Gasoline,Husqvarna
3321,4141,15.0,Yamaha WR 125,Gasoline,Yamaha
16514,20585,15.0,SWM SM 125 R,Gasoline,SWM
7875,9789,15.0,Yamaha YZF-R15,Gasoline,Yamaha
4891,6089,15.0,Mash Scrambler,Gasoline,Mash
4924,6132,15.0,Qingqi,Gasoline,Qingqi
8498,10577,15.0,Longjia Versus 50,Gasoline,Longjia
10178,12672,15.0,Peugeot Satelis 125,Gasoline,Peugeot
977,1225,15.0,Honda CBR 125,Gasoline,Honda
6117,7600,15.0,Piaggio Carnaby 125,Gasoline,Piaggio
2357,2914,15.0,Kymco People GTi,Gasoline,Kymco
12906,16050,15.0,Zontes 125 G1,Gasoline,Zontes
147,183,15.0,Honda SH 125,Gasoline,Honda
5522,6861,15.0,Jinling JL-MA,Gasoline,Jinling
8764,10905,15.0,Malaguti Monte Pro 125,Gasoline,Malaguti
10182,12676,15.0,Malaguti Dune 125,Gasoline,Malaguti
434,538,15.0,BMW C Evolution,Electric,BMW
16130,20089,15.0,SYM Cruisym 125,Gasoline,SYM
2931,3644,15.0,SYM HD 125,Gasoline,SYM
124,157,15.0,Piaggio Zip SP,Two Stroke Gasoline,Piaggio
9084,11308,15.0,Malaguti Madison 125,Gasoline,Malaguti
9157,11407,15.0,Brixton Rayburn 125,Gasoline,Brixton
101,129,15.0,Aprilia Scarabeo,Gasoline,Aprilia
19787,24684,15.0,Kawasaki Ninja 125,Gasoline,Kawasaki
9899,12317,15.0,Aprilia RS4 125,Gasoline,Aprilia
492,611,15.0,KSR Moto TR 125,Gasoline,KSR
6052,7520,15.0,Aprilia Sportcity 125,Gasoline,Aprilia
2331,2884,15.0,SYM Joyride 200,Gasoline,SYM
948,1191,15.0,Gilera Runner 125,Gasoline,Gilera
1059,1331,15.0,Rieju Marathon,Gasoline,Rieju
1045,1314,15.0,Derbi GPR,Gasoline,Derbi
9984,12424,15.0,Simson AWO 425,Gasoline,Simson
374,461,15.0,Yamaha Xenter 150,Gasoline,Yamaha
1368,1710,15.0,Kymco Grand Dink 125,Gasoline,Kymco
18388,22940,15.0,SWM,Gasoline,SWM
2679,3316,15.0,Gilera Nexus 125,Gasoline,Gilera
27381,34321,15.0,Honda XL 125,Gasoline,Honda
45,59,15.0,TM SMR 300 2T,Two Stroke Gasoline,TM
9317,11613,14.0,Daelim VL 125,Gasoline,Daelim
2148,2674,14.0,Yamaha X-Max 125,Gasoline,Yamaha
335,413,14.0,Vespa Primavera 150 3V,Gasoline,Vespa
9306,11598,14.0,Mc Motors,Gasoline,Mc
2074,2580,14.0,KSR Moto Code 125,Gasoline,KSR
9016,11225,14.0,Honda S-Wing,Gasoline,Honda
9098,11329,14.0,Moto Guzzi GTS,Gasoline,Moto
8972,11170,14.0,Yamaha YP 125,Gasoline,Yamaha
373,460,14.0,Malaguti XTM,Two Stroke Gasoline,Malaguti
19805,24706,14.0,Piaggio SKR 125,Gasoline,Piaggio
499,619,14.0,Rolektro Eco-City,Electric,Rolektro
25853,32399,14.0,Peugeot e-VIVACITY,Electric,Peugeot
3858,4811,14.0,Sherco 50 SE-R,Two Stroke Gasoline,Sherco
3787,4721,14.0,Others Bianchi,Gasoline,Others
10632,13245,14.0,FN,Gasoline,FN
325,400,14.0,Malaguti Blog 160,Gasoline,Malaguti
14567,18125,14.0,Hyosung Karion 125,Gasoline,Hyosung
677,853,14.0,Daelim S3,Gasoline,Daelim
7309,9081,14.0,AJP,Gasoline,AJP
256,310,14.0,KTM 250 EXC,Two Stroke Gasoline,KTM
7844,9748,14.0,Ultra Motor,Electric,Ultra
10710,13333,14.0,Vespa GTS 125,Gasoline,Vespa
4372,5445,14.0,Moto Guzzi Sport 15,Gasoline,Moto
1972,2454,14.0,Kymco Downtown 125i,Gasoline,Kymco
14068,17498,14.0,BMW R 35/2,Gasoline,BMW
2593,3198,14.0,Piaggio Primavera,Gasoline,Piaggio
27067,33922,14.0,Mondial FLAT TRACK 125i,Gasoline,Mondial
23354,29218,14.0,Honda PES 125,Gasoline,Honda
6239,7753,14.0,Honda Silver Wing,Gasoline,Honda
12457,15500,14.0,Mondial HPS 125i,Gasoline,Mondial
26432,33119,14.0,Benelli Caffe Nero,Gasoline,Benelli
18714,23342,14.0,Kymco Bet & Win 125,Gasoline,Kymco
1436,1798,14.0,SYM Citycom 125,Gasoline,SYM
17485,21800,14.0,BMW R 35,Gasoline,BMW
1160,1462,14.0,Daelim VT 125,Gasoline,Daelim
1561,1954,14.0,KTM 300 XC,Gasoline,KTM
2547,3140,14.0,Kymco Quannon 125,Gasoline,Kymco
1112,1399,14.0,Mondial,Gasoline,Mondial
12052,15003,14.0,Dnepr MT 10,Gasoline,Dnepr
2545,3138,14.0,Honda PCX 150,Gasoline,Honda
18375,22925,14.0,Kawasaki KX 65,Two Stroke Gasoline,Kawasaki
6322,7851,14.0,Matchless G3,Gasoline,Matchless
17348,21624,14.0,Kymco MXU 450i,Gasoline,Kymco
4593,5716,14.0,Aprilia RS 125,Gasoline,Aprilia
2239,2778,14.0,Kymco Like 150,Gasoline,Kymco
6884,8548,14.0,Peugeot LXR 125,Gasoline,Peugeot
187,230,14.0,Kymco Agility 50,Gasoline,Kymco
11675,14530,14.0,Aprilia Leonardo 250,Gasoline,Aprilia
549,683,14.0,Aprilia Leonardo 150,Gasoline,Aprilia
7406,9201,14.0,Suzuki Burgman 150,Gasoline,Suzuki
3324,4144,14.0,SYM GTS 125,Gasoline,SYM
1997,2482,14.0,Moto Guzzi Airone,Gasoline,Moto
20048,25011,12.0,Honda ATC 125,Gasoline,Honda
10227,12723,12.0,BMW R 42,Gasoline,BMW
2173,2704,12.0,Verve Moto Classic S 125i,Gasoline,Verve
15743,19584,12.0,Kymco Bet & Win 150,Gasoline,Kymco
9865,12273,12.0,Keeway Logik,Gasoline,Keeway
15679,19508,12.0,Peugeot Django 150,Gasoline,Peugeot
10629,13242,12.0,Mash Seventy 125,Gasoline,Mash
10144,12630,12.0,Generic Soho 125,Gasoline,Generic
23792,29762,12.0,Sachs/SFM XTC 125,Gasoline,Sachs/SFM
2901,3605,12.0,Yamaha TriCity,Gasoline,Yamaha
13113,16307,12.0,Vespa Cosa 200,Gasoline,Vespa
13973,17381,12.0,Romet RCR 125,Gasoline,Romet
1323,1653,12.0,Vespa LX 150,Gasoline,Vespa
26431,33118,12.0,Sachs/SFM ZX 50,Two Stroke Gasoline,Sachs/SFM
14259,17730,12.0,AJP PR3 125,Gasoline,AJP
1120,1410,12.0,Piaggio Medley 125,Gasoline,Piaggio
23947,29948,12.0,Xingyue,Electric/Gasoline,Xingyue
5954,7403,12.0,Lambretta V200,Gasoline,Lambretta
5039,6266,12.0,Mash Black Seven,Gasoline,Mash
26061,32668,12.0,Kawasaki 400 S3,Gasoline,Kawasaki
12405,15435,12.0,LML,Gasoline,LML
24232,30331,12.0,Terrot HSSO,Gasoline,Terrot
5737,7122,12.0,Daelim Otello 125,Gasoline,Daelim
12606,15677,12.0,Kymco Yager 125,Gasoline,Kymco
4954,6168,12.0,Cagiva Raptor 125,Two Stroke Gasoline,Cagiva
6136,7623,12.0,Kymco Yager GT,Gasoline,Kymco
4346,5409,12.0,Daelim Daystar F.I.,Gasoline,Daelim
7756,9638,12.0,TGB X Motion 125,Gasoline,TGB
4794,5967,12.0,Mash,Gasoline,Mash
6501,8069,12.0,Honda FES 125,Gasoline,Honda
749,940,12.0,Kymco Dink 125,Gasoline,Kymco
4620,5751,12.0,Bajaj Pulsar 135,Gasoline,Bajaj
286,345,12.0,Kymco X-Town,Gasoline,Kymco
215,261,12.0,Kymco Like 125,Gasoline,Kymco
7153,8888,12.0,Keeway Outlook 125,Gasoline,Keeway
15423,19194,12.0,Vespa PX 200 GS,Gasoline,Vespa
7715,9590,12.0,SYM Joyride 125,Gasoline,SYM
3362,4194,12.0,Vespa 150,Gasoline,Vespa
25052,31361,12.0,AWO,Gasoline,AWO
25606,32086,12.0,Vespa PX 200 E,Two Stroke Gasoline,Vespa
26949,33777,12.0,Suzuki VL 125,Gasoline,Suzuki
27045,33894,12.0,Victoria KR 26 N,Gasoline,Victoria
10543,13135,12.0,Aprilia Leonardo 125,Gasoline,Aprilia
2572,3168,12.0,BMW R 25,Gasoline,BMW
7102,8821,12.0,LML Star 200,Others,LML
22866,28579,12.0,Masai,Gasoline,Masai
