osmid,y,x,street_count,highway,ref,junction,railway,geometry
7841738948,15.7932591,108.3851536,3,,,,,POINT (108.3851536 15.7932591)
7841738949,15.7950913,108.3857582,3,,,,,POINT (108.3857582 15.7950913)
7841738958,15.7943218,108.3856836,3,,,,,POINT (108.3856836 15.7943218)
7841738959,15.7951326,108.3868097,1,,,,,POINT (108.3868097 15.7951326)
7841738971,15.7945369,108.3858476,3,,,,,POINT (108.3858476 15.7945369)
7841738972,15.7949775,108.3861109,1,,,,,POINT (108.3861109 15.7949775)
7841738975,15.7943091,108.3857114,4,,,,,POINT (108.3857114 15.7943091)
7841738976,15.7951449,108.38514,1,,,,,POINT (108.38514 15.7951449)
7841738983,15.7946212,108.3850678,3,,,,,POINT (108.3850678 15.7946212)
7841738984,15.7940809,108.3863403,1,,,,,POINT (108.3863403 15.7940809)
7841739075,15.7908127,108.3887288,3,,,,,POINT (108.3887288 15.7908127)
7841739079,15.7884847,108.3848872,1,,,,,POINT (108.3848872 15.7884847)
7841739087,15.7895071,108.3843622,1,,,,,POINT (108.3843622 15.7895071)
7841739090,15.7889561,108.3853368,3,,,,,POINT (108.3853368 15.7889561)
7841739091,15.7882459,108.385482,1,,,,,POINT (108.385482 15.7882459)
7841739093,15.7880963,108.3856696,3,,,,,POINT (108.3856696 15.7880963)
7841739098,15.7879349,108.3855289,1,,,,,POINT (108.3855289 15.7879349)
7841739107,15.7885651,108.386047,3,,,,,POINT (108.386047 15.7885651)
7841739122,15.7872716,108.38595,1,,,,,POINT (108.38595 15.7872716)
7841739148,15.7867864,108.3866494,1,,,,,POINT (108.3866494 15.7867864)
7841743460,15.7843828,108.3859608,3,,,,,POINT (108.3859608 15.7843828)
7841790377,15.8349417,108.3389908,3,,,,,POINT (108.3389908 15.8349417)
7841790378,15.8361691,108.3388799,1,,,,,POINT (108.3388799 15.8361691)
7841793994,15.8348565,108.3363284,3,,,,,POINT (108.3363284 15.8348565)
7841793995,15.8352596,108.3356244,1,,,,,POINT (108.3356244 15.8352596)
7841793996,15.838227,108.3334216,1,,,,,POINT (108.3334216 15.838227)
7841794002,15.8380941,108.3330891,1,,,,,POINT (108.3330891 15.8380941)
7841794003,15.8371162,108.3318056,1,,,,,POINT (108.3318056 15.8371162)
7841794009,15.8360479,108.3319625,1,,,,,POINT (108.3319625 15.8360479)
7841794024,15.8355208,108.3323548,1,,,,,POINT (108.3323548 15.8355208)
7841794033,15.8345848,108.3319813,1,,,,,POINT (108.3319813 15.8345848)
7841794035,15.8349254,108.3323058,3,,,,,POINT (108.3323058 15.8349254)
7841794041,15.8344435,108.3333224,3,,,,,POINT (108.3333224 15.8344435)
7841794055,15.8362001,108.3322877,3,,,,,POINT (108.3322877 15.8362001)
7841794059,15.8376019,108.332676,3,,,,,POINT (108.332676 15.8376019)
7841794071,15.8333336,108.3328727,3,,,,,POINT (108.3328727 15.8333336)
7841794072,15.8336326,108.3325218,1,,,,,POINT (108.3325218 15.8336326)
7841794075,15.8332597,108.331068,1,,,,,POINT (108.331068 15.8332597)
7841794076,15.8342583,108.3312799,1,,,,,POINT (108.3312799 15.8342583)
7841794077,15.832572,108.3313107,1,,,,,POINT (108.3313107 15.832572)
7841794089,15.8308496,108.3329429,1,,,,,POINT (108.3329429 15.8308496)
7841794108,15.8293297,108.3369716,1,,,,,POINT (108.3369716 15.8293297)
7841794109,15.8302423,108.3372923,3,,,,,POINT (108.3372923 15.8302423)
7841794119,15.8299442,108.3314255,3,,,,,POINT (108.3314255 15.8299442)
7841794120,15.8300083,108.3320926,1,,,,,POINT (108.3320926 15.8300083)
7841794128,15.8223555,108.3279755,3,,,,,POINT (108.3279755 15.8223555)
