stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
hanoi_stop_8741080050,Bưu Điện Trung Tâm 6 - 582 Lĩnh Nam,,20.980079,105.885669,,
hanoi_stop_8741080051,Đình Nam Dư Hạ - Đường dẫn cầu Thanh Trì,,20.976768,105.886151,,
hanoi_stop_8741080052,Chùa Khuyến Lương,,20.972918,105.881157,,
hanoi_stop_8741080059,Số nhà 43 - Tổ 14 - Phường Yên Sở - Đường dẫn cầu Thanh Trì,,20.965883,105.875055,,
hanoi_stop_8741080060,"Số nhà 30 Yên Sở, Phường Yên Sở",,20.964523,105.867652,,
hanoi_stop_8741080061,"Đối diện Công Viên Yên Sở, Hoàng Mai",,20.965803,105.852311,,
hanoi_stop_8741080062,Qua lối rẽ khu hành chính quận Hoàng Mai - đường Đỗ Mười,,20.966028,105.844736,,
hanoi_stop_738813325,Đối diện Bến xe Nước ngầm Hà Nội - Ngọc Hồi (cột trước),,20.964293,105.841821,,
hanoi_stop_8741080063,Qua đối diện Công ty Cổ phần Điện Công nghiệp Hà Nội 30m,,20.961212,105.845037,,
hanoi_stop_8741080064,Tòa nhà Nơ 3 - Trần Thủ Độ,,20.959643,105.846079,,
hanoi_stop_8741080065,Nhà No9 KĐT Pháp Vân,,20.955285,105.846908,,
hanoi_stop_8213181378,48B Tăng Bạt Hổ - Viện Dinh Dưỡng - Bộ y tế,,21.014102,105.859157,,
hanoi_stop_11152433987,Đối diện 61 Tam Trinh,,20.995049,105.862562,,
hanoi_stop_8741080067,Đối diện nhà No9 KĐT Pháp Vân,,20.955618,105.846967,,
hanoi_stop_8741080068,Công viên khu đô thị Tứ Hiệp Pháp Vân (đối diện tòa nhà Nơ 3) - Trần Thủ Độ,,20.959829,105.846159,,
hanoi_stop_8741080069,Công ty Cổ phần Điện Công nghiệp Hà Nội,,20.961299,105.844609,,
hanoi_stop_8741080072,Đường vào KĐT Gamuda,,20.964196,105.858262,,
hanoi_stop_8741080073,Qua đường vào khu tái định cư X2A 30m - đường dẫn cầu Thanh Trì,,20.963640,105.863776,,
hanoi_stop_8741080074,Số nhà 15 - Tổ 15 - Phường Yên Sở - Đường dẫn cầu Thanh Trì,,20.965542,105.875683,,
hanoi_stop_8741080075,Trường mầm non Trần Phú - Tổ 8 - Phường Trần Phú - Đường dẫn cầu Thanh Trì,,20.972546,105.881644,,
hanoi_stop_8741080076,Trước Nhà máy nước Đông Dư,,20.976481,105.886940,,
hanoi_stop_8741080077,Ngõ 595 - Đối diện 602 Lĩnh Nam,,20.980026,105.886798,,
hanoi_stop_8741080078,Chợ Lòng Thuyền - 471 Lĩnh Nam,,20.981181,105.881794,,
hanoi_stop_8741080079,Doanh trại Quân đội nhân dân - 393 Lĩnh Nam,,20.982916,105.877460,,
hanoi_stop_8741080080,Công ty CP Dệt CN Hà Nội - 93 Lĩnh Nam,,20.987082,105.868306,,
hanoi_stop_8741080081,Đối diện 72 Lĩnh Nam,,20.988849,105.866059,,
hanoi_stop_738814879,89 Tam Trinh,,20.993896,105.862806,,
hanoi_stop_8741080082,Giữa số nhà 613-615 Kim Ngưu,,20.999048,105.862222,,
hanoi_stop_738813235,377 Kim Ngưu,,21.002085,105.861878,,
hanoi_stop_446044220,Giữa số nhà 169-171 Kim Ngưu,,21.006027,105.861457,,
hanoi_stop_7821883016,131 Lò Đúc,,21.012344,105.858678,,
hanoi_stop_8741080071,"Công Viên Yên Sở, Hoàng Mai",,20.965214,105.852058,,
hanoi_stop_11525014917,Trước ngã 3 vào đường Yên Sở 100 m,,20.964073,105.871635,,
hanoi_stop_5169396322,Bến xe Nước Ngầm,,20.963829,105.842143,,
hanoi_stop_12077799918,183 Lĩnh Nam,,20.985418,105.870900,,
hanoi_stop_738814448,9 Trần Thánh Tông,,21.014553,105.859894,,
hanoi_stop_738813683,Doanh trại Quân đội Nhân dân - 1B Trần Thánh Tông,,21.017313,105.859201,,
hanoi_stop_7825858603,Đại học Khoa học tự nhiên - 19 Lê Thánh Tông,,21.020498,105.858321,,
hanoi_stop_8932663264,Cổng C Bến xe Nước Ngầm,,20.965479,105.843154,,
hanoi_stop_4292651591,6-8 Tràng Thi (Qua ngã 4 Tràng Thi - Lý Quốc Sư),,21.026545,105.849684,,
hanoi_stop_4292785590,Bệnh viện Việt Đức - 40 Tràng Thi,,21.027390,105.846674,,
hanoi_stop_738815828,Trạm biến áp Đội Cấn 2 - Số nhà 47 phố Đội Cấn,,21.034504,105.830521,,
hanoi_stop_8741294705,195B Đội Cấn,,21.035107,105.823394,,
hanoi_stop_4476131489,285 Đội Cấn - Công ty Dệt Kim Hà Nội,,21.035449,105.818867,,
hanoi_stop_738815421,22 Liễu Giai,,21.035879,105.814377,,
hanoi_stop_8741294709,Dốc tập lái - 202 đường Bưởi trên,,21.035369,105.806016,,
hanoi_stop_8741294710,Gần ngõ 378 đường Bưởi tránh (bên giao Đội Cấn),,21.040852,105.806946,,
hanoi_stop_8741294711,Số 610 Đường Bưởi (gần vòng xuyến Hoàng Quốc Việt),,21.045518,105.806310,,
hanoi_stop_11515748461,Đối diện Bệnh viện đa khoa Phương Đông,,21.071675,105.775348,,
hanoi_stop_738815469,12A Điện Biên Phủ,,21.029502,105.842345,,
hanoi_stop_12167250982,Cột cờ Hà Nội - Điện Biên Phủ,,21.032160,105.839720,,
hanoi_stop_12167250983,18A Lê Hồng Phong - Ngã 4 Lê Hồng Phong - Ông Ích Khiêm,,21.034234,105.833855,,
hanoi_stop_738815334,Đối diện Bệnh Viện Trung ương Quân đội 108 - Trần Hưng Đạo,,21.018528,105.860709,,
hanoi_stop_738814946,22B Hai Bà Trưng - Cạnh Tràng Tiền Plaza,,21.024085,105.853636,,
hanoi_stop_4539039489,48 Hai Bà Trưng - Viện Kiểm Nghiệm thuốc Trung ương,,21.024911,105.850819,,
hanoi_stop_8837631356,"Hè cạnh vườn hoa 19-8, đường Hai Bà Trưng",,21.023115,105.857025,,
hanoi_stop_8856174814,10 Đào Tấn - Viện Vật lý,,21.032256,105.810277,,
hanoi_stop_8954351039,Đối diện số nhà 69 Hoàng Tăng Bí,,21.082275,105.783455,,
hanoi_stop_8347802015,Trường Đại học Y tế Cộng đồng,,21.082629,105.778164,,
hanoi_stop_8822946795,Công an phường Đức Thắng,,21.078658,105.777669,,
hanoi_stop_5485731419,Trường Cao đẳng Tài nguyên & Môi trường Hà Nội,,21.073993,105.777211,,
hanoi_stop_11528486369,68A Tân Xuân,,21.081895,105.785368,,
hanoi_stop_8920049624,Trung tâm KHTN Công nghệ Quốc Gia - 18 Hoàng Quốc Việt,,21.046416,105.801728,,
hanoi_stop_738813966,90 Hoàng Quốc Việt,,21.046399,105.796577,,
hanoi_stop_8831420038,122-124 Hoàng Quốc Việt,,21.046379,105.792082,,
hanoi_stop_738813928,212 Hoàng Quốc Việt - đối diện Học viện Chính trị Quốc gia Hồ Chí Minh,,21.046348,105.787532,,
hanoi_stop_11212782837,Trạm trung chuyển xe buýt Hoàng Quốc Việt (cột trước) - chiều đi Phạm Văn Đồng,,21.046170,105.784841,,
hanoi_stop_4584884500,655 Phạm Văn Đồng,,21.048154,105.781697,,
hanoi_stop_8821681979,36A Phạm Văn Đồng,,21.051300,105.781953,,
hanoi_stop_8831420042,UBND phường Cổ Nhuế 1 - 601 Phạm Văn Đồng,,21.054403,105.782264,,
hanoi_stop_738815813,527 Phạm Văn Đồng,,21.057657,105.783002,,
hanoi_stop_8821681980,Qua 70m đường vào Công viên Hòa Bình,,21.062248,105.784213,,
hanoi_stop_8821681981,373 Phạm Văn Đồng,,21.070524,105.785661,,
hanoi_stop_8821681982,189 Phạm Văn Đồng,,21.074987,105.786010,,
hanoi_stop_5118690545,Đối diện 528 đường Bưởi dưới - Ngã 3 Hoàng Quốc Việt,,21.044458,105.805678,,
hanoi_stop_8741301522,Đại sứ quán Nhật Bản - 27 Liễu Giai,,21.032454,105.813814,,
hanoi_stop_738813746,Viện Khoa học xã hội Việt Nam - số 1 Liễu Giai,,21.036422,105.815036,,
hanoi_stop_738814345,73 Văn Cao - Đối diện Cung thể thao Quần Ngựa,,21.039742,105.816029,,
hanoi_stop_8741301523,239-241 Hoàng Hoa Thám,,21.042079,105.819546,,
hanoi_stop_8741301524,Trường Trung học cơ sở Ba Đình - 145 Hoàng Hoa Thám,,21.040710,105.824691,,
hanoi_stop_738814864,174-176 Ngọc Hà,,21.038653,105.828921,,
hanoi_stop_3887711843,49 Hai Bà Trưng - Tháp Hà Nội,,21.026036,105.846557,,
hanoi_stop_738815169,37 Hai Bà Trưng - Bệnh viện Việt Nam Cu Ba,,21.024976,105.850138,,
hanoi_stop_11515782290,Bệnh viện đa khoa Phương Đông,,21.071475,105.774225,,
hanoi_stop_5118690559,Đối diện 298 đường Bưởi dưới,,21.039178,105.806589,,
hanoi_stop_12167250979,91-93 Lê Hồng Phong,,21.034346,105.832037,,
hanoi_stop_12167250980,1B Lê Hồng Phong - Trung tâm TDTT Khúc Hạo,,21.033436,105.837745,,
hanoi_stop_12167250981,7 Điện Biên Phủ,,21.029311,105.842339,,
hanoi_stop_738814524,Đối diện 16 Hai Bà Trưng (Ngã 4 Hai Bà Trưng- Ngô Quyền),,21.023850,105.853996,,
hanoi_stop_8822946798,Đối diện Học viện Tài chính,,21.074886,105.777397,,
hanoi_stop_8822946799,Đối diện Công ty Cổ phần Cơ điện Hà Nội,,21.077946,105.777753,,
hanoi_stop_11522073218,Ngã tư Bê tông Chèm,,21.083432,105.778243,,
hanoi_stop_8954351040,51 Hoàng Tăng Bí,,21.081945,105.784032,,
hanoi_stop_7294677886,138 Phạm Văn Đồng - Cầu vượt bộ hành,,21.074511,105.785454,,
hanoi_stop_7294698285,542 Phạm Văn Đồng,,21.071268,105.785271,,
hanoi_stop_4224823335,Trước 100m ngõ 218 Phạm Văn Đồng,,21.062171,105.783600,,
hanoi_stop_8831420065,370 Phạm Văn Đồng,,21.058045,105.782548,,
hanoi_stop_738815777,Siêu thị Metro Thăng Long,,21.054720,105.781714,,
hanoi_stop_7294678089,Chung cư GreenStars,,21.051554,105.781373,,
hanoi_stop_8831420040,Trạm trung chuyển xe buýt Hoàng Quốc Việt (cột trước) - chiều đi Bưởi,,21.046147,105.783396,,
hanoi_stop_7294698188,Trường Cao đẳng Sư phạm Mẫu giáo Trung ương,,21.046018,105.792160,,
hanoi_stop_7294698386,247-249 Hoàng Quốc Việt,,21.045990,105.796282,,
hanoi_stop_8920049630,Gần Học viện Quốc Phòng - 91 Hoàng Quốc Việt,,21.046012,105.801163,,
hanoi_stop_738815534,Học viện Chính trị Quốc gia Hồ Chí Minh,,21.045991,105.788393,,
hanoi_stop_8807115913,Số 9 Đào Tấn (đối diện 22 Đào Tấn),,21.032414,105.808691,,
hanoi_stop_8751624829,Đối diện 116 Hào Nam,,21.026968,105.827592,,
hanoi_stop_8751624830,Học viện Âm nhạc Quốc gia Việt Nam,,21.022758,105.826438,,
