,Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Score
122,AUDI,R8 V10 PLUS,V10,5204,610,330,3.2,"$194,000",Petrol,2,560,
123,AUDI,RS7 SPORTBACK,V8,3993,591,305,3.6,"$114,000",Petrol,5,800,
124,AUDI,S8,V8,3993,563,305,4.3,"$101,000",Petrol,5,800,
125,AUDI,RS6 AVANT,V8,3993,591,305,3.6,"$109,000",Petrol,5,800,
126,AUDI,S7 SPORTBACK,V8,3993,563,305,4.3,"$96,000",Petrol,5,650,
127,AUDI,A8,V6,2995,335,250,5.7,"$86,000",Petrol,5,600,
128,AUDI,S5 COUPE,V6,2995,349,250,4.8,"$64,000",Petrol,4,500,
129,AUDI,SQ5,V6,2995,349,250,5.4,"$62,000",Petrol,5,500,
130,AUDI,S4 SEDAN,V6,2995,349,250,4.7,"$59,000",Petrol,5,500,
131,AUDI,S3 SEDAN,I4,1984,306,250,4.8,"$52,000",Petrol,5,400,
132,AUDI,Q7,V6,2995,335,250,6.3,"$60,000",Petrol,7,600,0.5
133,AUDI,Q5,I4,1984,248,240,6.3,"$43,000",Petrol,5,500,
134,AUDI,A7,V6,2995,335,250,5.7,"$68,000",Petrol,5,600,
135,AUDI,A6,V6,2995,335,250,5.7,"$58,000",Petrol,5,600,
136,AUDI,A5 COUPE,I4,1984,248,240,6.3,"$45,000",Petrol,4,500,
137,AUDI,A4,I4,1984,248,240,6.5,"$39,000",Petrol,5,400,
138,AUDI,Q3,I4,1984,248,230,7.3,"$35,000",Petrol,5,400,
139,AUDI,E-TRON,ELECTRIC,95,402,200,5.5,"$75,000",Electric,5,664,
140,AUDI,E-TRON SPORTBACK,ELECTRIC,95,402,200,5.5,"$78,000",Electric,5,664,
141,AUDI,TT COUPE,I4,1984,248,250,5.3,"$49,000",Petrol,2,400,
142,BMW,I8 ROADSTER,ELECTRIC MOTOR,11.6,369,250,4.4,"$165,000",Hybrid,2,570,0.53
143,BMW,330i,I4,1998,255,250,5.6,"$45,000",Petrol,5,400,
144,BMW,M340i XDRIVE,I6,2998,382,250,4.1,"$57,000",Petrol,5,500,
145,BMW,430i COUPE,I4,1998,255,250,5.8,"$48,000",Petrol,4,400,
146,BMW,M4 COMPETITION,I6,2993,503,290,3.8,"$81,000",Petrol,4,650,
147,BMW,530i,I4,1998,248,250,5.9,"$57,000",Petrol,5,400,
148,BMW,M550i XDRIVE,V8,4395,523,250,3.6,"$78,000",Petrol,5,650,
149,BMW,118i,I3,1499,136,213,8.5,"$32,000",Petrol,5,220,
150,BMW,128ti,I4,1998,261,250,6.1,"$42,000",Petrol,5,400,
151,BMW,M135i XDRIVE,I4,1998,302,250,4.8,"$30,000",Petrol,5,450,
152,BMW,116D,I3,1496,116,200,10.3,"$30,000",Diesel,5,280,
153,BMW,120D XDRIVE,I4,1995,190,230,6.9,"$38,000",Diesel,5,400,0.5
154,BMW,116i,I3,1499,109,200,10.9,"$28,000",Petrol,5,200,
155,BMW,118D,I4,1995,150,216,8.4,"$34,000",Diesel,5,380,
156,BMW,120i,I4,1998,178,230,7.1,"$37,000",Petrol,5,300,
157,BMW,125i,I4,1998,224,240,6.1,"$42,000",Petrol,5,400,
158,BMW,114D,I3,1496,95,185,12.2,"$27,000",Diesel,5,270,
159,BMW,114i,I4,1598,102,195,11.2,"$26,000",Petrol,5,200,
160,BMW,125D,I4,1995,224,240,6.3,"$44,000",Diesel,5,400,
161,BMW,118i XDRIVE,I3,1499,136,211,8.9,"$34,000",Petrol,5,250,
162,BMW,116D EFFICIENTDYNAMICS,I3,1496,116,200,10.9,"$30,000",Diesel,5,270,
163,BMW,118i SPORTLINE,I3,1499,136,213,8.5,"$35,000",Petrol,5,250,
164,BMW,118i M SPORT,I3,1499,136,213,8.5,"$37,000",Petrol,5,250,
165,BMW,120i M SPORT,I4,1998,178,230,7.1,"$39,000",Petrol,5,300,
166,BMW,116i EFFICIENTDYNAMICS,I4,1598,109,195,10.9,"$29,000",Petrol,5,200,
167,BMW,116D ADVANTAGE,I3,1496,116,200,10.5,"$31,000",Diesel,5,270,
168,BMW,120D EFFICIENTDYNAMICS,I4,1995,163,225,7.7,"$39,000",Diesel,5,400,
169,BMW,118i SHADOW LINE,I3,1499,136,213,8.5,"$36,000",Petrol,5,250,
170,BMW,118D SPORT LINE,I4,1995,150,216,8.4,"$36,000",Diesel,5,380,
171,BMW,120i XDRIVE,I4,1998,178,230,7.2,"$40,000",Petrol,5,300,
172,BMW,114D SPORT LINE,I3,1496,95,185,12.2,"$28,000",Diesel,5,270,
173,BMW,118i URBAN LINE,I3,1499,136,213,8.5,"$35,000",Petrol,5,250,
174,VOLVO,XC90,I6,1969,247,200,6.5,"$60,000",Petrol/Diesel,7,400,
175,VOLVO,XC60,I6,1969,247,220,6.4,"$55,000",Petrol/Diesel,5,400,
176,VOLVO,S90,I6,1969,295,250,5.9,"$60,000",Petrol/Diesel,5,400,
177,KIA,SPORTAGE LX,I4,2480,187,200,8,"$27,000",Petrol,5,250,
178,KIA,SPORTAGE EX,I4,2480,187,200,8,"$30,000",Petrol,5,250,
179,KIA,SPORTAGE GT-LINE,I4,2480,187,200,8,"$32,000",Petrol,5,350,
180,KIA,SPORTAGE SX TURBO,I4,1998,240,210,6.7,"$36,000",Petrol,5,400,
181,KIA,SPORTAGE NIGHTFALL EDITION,I4,2480,187,200,8,"$33,000",Petrol,5,350,
182,HONDA,CIVIC TYPE R,I4,1996,315,272,5.7,"$44,000",Petrol,5,400,
183,KIA,SPORTAGE PHEV,I4 + ELECTRIC,1600,261,180,8,"$41,000",Plug-in Hybrid,5,350,
184,KIA,SPORTAGE 2024(BASE MODEL),I4,2480,187,200,8,"$26,000",Petrol,5,250,
185,KIA,SPORTAGE 2024(TOP TRIM),I4,1998,240,210,6.7,"$38,000",Petrol,5,400,
186,KIA,SPORTAGE 2024(BASE AWD),I4,2480,187,200,8.3,"$29,000",Petrol/AWD,5,250,
187,KIA,SPORTAGE X-LINE,I4,2480,187,200,8,"$32,500",Petrol,5,350,
188,KIA,SPORTAGE 2024(S TRIM),I4,2480,187,200,8.2,"$28,000",Petrol,5,250,
189,HONDA,ACCORD,I4,1498,192,201,7.1,"$29,400",Petrol,5,370,
190,KIA,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,1600,227,180,8,"$37,000",Hybrid,5,350,
191,KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC,1598,261,180,7.9,"$42,000",Plug-in Hybrid,5,350,
192,KIA,SPORTAGE 2024(X-PRO),I4,2480,187,200,8.1,"$36,000",Petrol,5,400,
193,KIA,SPORTAGE 2024(X-PRO PRESTIGE),I4,2480,187,200,8.1,"$38,000",Petrol,5,400,
194,KIA,SPORTAGE 2024(SX TURBO AWD),I4,1998,240,210,6.5,"$40,000",Petrol/AWD,5,400,
195,KIA,SPORTAGE 2024(BASE FWD),I4,2480,187,200,8.5,"$26,500",Petrol,5,250,
196,HONDA,CR-V,I4,1498,190,186,8.2,"$30,000",Petrol/Hybrid,5,400,
197,HONDA,PILOT,V6,3471,285,209,6.3,"$40,000",Petrol,8,360,
198,HONDA,CIVIC HATCHBACK,I4,1498,180,220,6.8,"$26,350",Petrol,5,300,
199,TOYOTA,CAMRY,V6,3500,301,220,6,"$27,000",Petrol/Hybrid,5,250,0.4
200,TOYOTA,COROLLA,I4,1798,139,180,9.4,"$22,500",Petrol/Hybrid,5,200,
201,TOYOTA,PRIUS,I4,1798,121,180,10.5,"$26,700",Hybrid,5,142,
202,TOYOTA,RAV4,I4,2494,203,200,8.1,"$27,100",Petrol/Hybrid,5,400,
203,TOYOTA,HIGHLANDER,V6,3456,295,220,7.2,"$38,400",Petrol/Hybrid,7,370,
204,TOYOTA,4RUNNER,V6,3956,270,200,7.5,"$37,400",Petrol,5,400,
205,TOYOTA,TACOMA,I4,2694,159,180,9.5,"$26,400",Petrol,5,400,
206,TOYOTA,TUNDRA,V8,5663,381,220,6.7,"$39,900",Petrol,5,650,
207,TOYOTA,AVALON,V6,3456,301,220,6.9,"$41,400",Petrol,5,400,
208,TOYOTA,MIRAI,I4,1798,151,180,9.2,"$52,400",Hydrogen,5,335,
209,TOYOTA,SIENNA,V6,2494,245,190,8,"$44,150",Petrol/Hybrid,7,360,
